Movie Rank,Movie Name,Year Released,User Rating,Genre,Director,Gross Amount(Millions),Actor1,Actor2,Actor3,Actor4
46,The Intouchables,2011,R,Biography,Olivier Nakache,13.18,François Cluzet, Omar Sy, Anne Le Ny, Audrey Fleurot
47,Casablanca,1942,PG,Drama,Michael Curtiz,1.02,Humphrey Bogart, Ingrid Bergman, Paul Henreid, Claude Rains
48,Once Upon a Time in the West,1968,PG-13,Western,Sergio Leone,5.32,Henry Fonda, Charles Bronson, Claudia Cardinale, Jason Robards
49,Grave of the Fireflies,1988,Not Rated,Animation,Isao Takahata,NULL,Tsutomu Tatsumi, Ayano Shiraishi, Akemi Yamaguchi, Yoshiko Shinohara
50,Rear Window,1954,PG,Mystery,Alfred Hitchcock,36.76,James Stewart, Grace Kelly, Wendell Corey, Thelma Ritter
51,Cinema Paradiso,1988,R,Drama,Giuseppe Tornatore,11.99,Philippe Noiret, Enzo Cannavale, Antonella Attili, Isa Danieli
52,Modern Times,1936,G,Comedy,Charles Chaplin,0.16,Charles Chaplin, Paulette Goddard, Henry Bergman, Tiny Sandford
53,City Lights,1931,G,Comedy,Charles Chaplin,0.02,Charles Chaplin, Virginia Cherrill, Florence Lee, Harry Myers
54,Avengers: Endgame,2019,PG-13,Action,Anthony Russo,858.37,Robert Downey Jr., Chris Evans, Mark Ruffalo, Chris Hemsworth
55,Spider-Man: Into the Spider-Verse,2018,PG,Animation,Bob Persichetti,190.24,Shameik Moore, Jake Johnson, Hailee Steinfeld, Mahershala Ali
56,Avengers: Infinity War,2018,PG-13,Action,Anthony Russo,678.82,Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans
57,Joker,2019,R,Crime,Todd Phillips,335.45,Joaquin Phoenix, Robert De Niro, Zazie Beetz, Frances Conroy
58,Oldboy,2003,R,Action,Park Chan-wook,0.71,Choi Min-sik, Yoo Ji-tae, Kang Hye-jeong, Kim Byeong-Ok
59,Django Unchained,2012,R,Drama,Quentin Tarantino,162.81,Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington
60,Indiana Jones and the Raiders of the Lost Ark,1981,PG,Action,Steven Spielberg,248.16,Harrison Ford, Karen Allen, Paul Freeman, John Rhys-Davies
61,Apocalypse Now,1979,R,Drama,Francis Ford Coppola,83.47,Martin Sheen, Marlon Brando, Robert Duvall, Frederic Forrest
62,The Shining,1980,R,Drama,Stanley Kubrick,44.02,Jack Nicholson, Shelley Duvall, Danny Lloyd, Scatman Crothers
63,Come and See,1985,Not Rated,Drama,Elem Klimov,NULL,Aleksey Kravchenko, Olga Mironova, Liubomiras Laucevicius, Vladas Bagdonas
64,The Dark Knight Rises,2012,PG-13,Action,Christopher Nolan,448.14,Christian Bale, Tom Hardy, Anne Hathaway, Gary Oldman
