Movie Rank,Movie Name,Year Released,User Rating,Genre,Director,Gross Amount(Millions),Actor1,Actor2,Actor3,Actor4
200,Logan,2017,R,Action,James Mangold,226.28,Hugh Jackman, Patrick Stewart, Dafne Keen, Boyd Holbrook
201,Rocky,1976,PG,Drama,John G. Avildsen,117.24,Sylvester Stallone, Talia Shire, Burt Young, Carl Weathers
202,"Monsters, Inc.",2001,G,Animation,Pete Docter,289.92,Billy Crystal, John Goodman, Mary Gibbs, Steve Buscemi
203,Trainspotting,1996,R,Drama,Danny Boyle,16.5,Ewan McGregor, Ewen Bremner, Jonny Lee Miller, Kevin McKidd
204,"Lock, Stock and Two Smoking Barrels",1998,R,Action,Guy Ritchie,3.9,Jason Flemyng, Dexter Fletcher, Nick Moran, Jason Statham
205,Into the Wild,2007,R,Adventure,Sean Penn,18.35,Emile Hirsch, Vince Vaughn, Catherine Keener, Marcia Gay Harden
206,Gran Torino,2008,R,Drama,Clint Eastwood,148.1,Clint Eastwood, Bee Vang, Christopher Carley, Ahney Her
207,Room,2015,R,Drama,Lenny Abrahamson,14.68,Brie Larson, Jacob Tremblay, Sean Bridgers, Wendy Crewson
208,How to Train Your Dragon,2010,PG,Animation,Dean DeBlois,217.58,Jay Baruchel, Gerard Butler, Christopher Mintz-Plasse, Craig Ferguson
209,Before Sunrise,1995,R,Drama,Richard Linklater,5.54,Ethan Hawke, Julie Delpy, Andrea Eckert, Hanno Pöschl
210,Memories of Murder,2003,Not Rated,Crime,Bong Joon Ho,0.01,Song Kang-ho, Kim Sang-kyung, Roe-ha Kim, Jae-ho Song
211,The Deer Hunter,1978,R,Drama,Michael Cimino,48.98,Robert De Niro, Christopher Walken, John Cazale, John Savage
212,Million Dollar Baby,2004,PG-13,Drama,Clint Eastwood,100.49,Hilary Swank, Clint Eastwood, Morgan Freeman, Jay Baruchel
213,Rush,2013,R,Action,Ron Howard,26.95,Daniel Brühl, Chris Hemsworth, Olivia Wilde, Alexandra Maria Lara
214,The Sound of Music,1965,G,Biography,Robert Wise,163.21,Julie Andrews, Christopher Plummer, Eleanor Parker, Richard Haydn
215,Wild Tales,2014,R,Comedy,Damián Szifron,3.11,Darío Grandinetti, María Marull, Mónica Villa, Diego Starosta
216,Raging Bull,1980,R,Biography,Martin Scorsese,23.38,Robert De Niro, Cathy Moriarty, Joe Pesci, Frank Vincent
217,12 Years a Slave,2013,R,Biography,Steve McQueen,56.67,Chiwetel Ejiofor, Michael Kenneth Williams, Michael Fassbender, Brad Pitt
218,Barry Lyndon,1975,PG,Adventure,Stanley Kubrick,NULL,Ryan O'Neal, Marisa Berenson, Patrick Magee, Hardy Krüger
219,Hachi: A Dog's Tale,2009,G,Biography,Lasse Hallström,NULL,Richard Gere, Joan Allen, Cary-Hiroyuki Tagawa, Sarah Roemer
220,My Neighbor Totoro,1988,G,Animation,Hayao Miyazaki,1.11,Hitoshi Takagi, Noriko Hidaka, Chika Sakamoto, Shigesato Itoi
221,Ben-Hur,1959,G,Adventure,William Wyler,74.7,Charlton Heston, Jack Hawkins, Stephen Boyd, Haya Harareet
222,Cool Hand Luke,1967,GP,Crime,Stuart Rosenberg,16.22,Paul Newman, George Kennedy, Strother Martin, J.D. Cannon
223,Network,1976,R,Drama,Sidney Lumet,NULL,Faye Dunaway, William Holden, Peter Finch, Robert Duvall
224,La haine,1995,Not Rated,Crime,Mathieu Kassovitz,0.31,Vincent Cassel, Hubert Koundé, Saïd Taghmaoui, Abdel Ahmed Ghili
225,The Iron Giant,1999,PG,Animation,Brad Bird,23.16,Eli Marienthal, Harry Connick Jr., Jennifer Aniston, Vin Diesel
226,Before Sunset,2004,R,Drama,Richard Linklater,5.82,Ethan Hawke, Julie Delpy, Vernon Dobtcheff, Louise Lemoine Torrès
227,Persona,1966,Not Rated,Drama,Ingmar Bergman,NULL,Bibi Andersson, Liv Ullmann, Margaretha Krook, Gunnar Björnstrand
228,The Seventh Seal,1957,Not Rated,Drama,Ingmar Bergman,NULL,Max von Sydow, Gunnar Björnstrand, Bengt Ekerot, Nils Poppe
229,Hotel Rwanda,2004,PG-13,Biography,Terry George,23.53,Don Cheadle, Sophie Okonedo, Joaquin Phoenix, Xolani Mali
230,Amores Perros,2000,R,Drama,Alejandro G. Iñárritu,5.38,Emilio Echevarría, Gael García Bernal, Goya Toledo, Álvaro Guerrero
231,The Bridge on the River Kwai,1957,PG,Adventure,David Lean,44.91,William Holden, Alec Guinness, Jack Hawkins, Sessue Hayakawa
232,The Third Man,1949,Approved,Film-Noir,Carol Reed,0.45,Orson Welles, Joseph Cotten, Alida Valli, Trevor Howard
233,In the Name of the Father,1993,R,Biography,Jim Sheridan,25.01,Daniel Day-Lewis, Pete Postlethwaite, Alison Crosbie, Philip King
234,The Grapes of Wrath,1940,Passed,Drama,John Ford,0.06,Henry Fonda, Jane Darwell, John Carradine, Charley Grapewin
235,Rebecca,1940,Approved,Drama,Alfred Hitchcock,4.36,Laurence Olivier, Joan Fontaine, George Sanders, Judith Anderson
236,On the Waterfront,1954,Approved,Crime,Elia Kazan,9.6,Marlon Brando, Karl Malden, Lee J. Cobb, Rod Steiger
237,Mary and Max,2009,Not Rated,Animation,Adam Elliot,NULL,Toni Collette, Philip Seymour Hoffman, Eric Bana, Barry Humphries
238,The 400 Blows,1959,Not Rated,Crime,François Truffaut,NULL,Jean-Pierre Léaud, Albert Rémy, Claire Maurier, Guy Decomble
239,It Happened One Night,1934,Passed,Comedy,Frank Capra,4.36,Clark Gable, Claudette Colbert, Walter Connolly, Roscoe Karns
240,The Best Years of Our Lives,1946,Approved,Drama,William Wyler,23.65,Myrna Loy, Dana Andrews, Fredric March, Teresa Wright
241,Wild Strawberries,1957,Not Rated,Drama,Ingmar Bergman,NULL,Victor Sjöström, Bibi Andersson, Ingrid Thulin, Gunnar Björnstrand
242,Mr. Smith Goes to Washington,1939,Passed,Comedy,Frank Capra,9.6,James Stewart, Jean Arthur, Claude Rains, Edward Arnold
243,The Battle of Algiers,1966,Not Rated,Drama,Gillo Pontecorvo,0.06,Brahim Hadjadj, Jean Martin, Yacef Saadi, Samia Kerbash
244,The General,1926,Passed,Action,Clyde Bruckman,1.03,Buster Keaton, Marion Mack, Glen Cavender, Jim Farley
245,The Gold Rush,1925,Passed,Adventure,Charles Chaplin,5.45,Charles Chaplin, Mack Swain, Tom Murray, Henry Bergman
246,The Incredibles,2004,PG,Animation,Brad Bird,261.44,Craig T. Nelson, Samuel L. Jackson, Holly Hunter, Jason Lee
247,Dances with Wolves,1990,PG-13,Adventure,Kevin Costner,184.21,Kevin Costner, Mary McDonnell, Graham Greene, Rodney A. Grant
248,Aladdin,1992,G,Animation,Ron Clements,217.35,Scott Weinger, Robin Williams, Linda Larkin, Jonathan Freeman
249,Life of Brian,1979,R,Comedy,Terry Jones,20.05,Graham Chapman, John Cleese, Michael Palin, Terry Gilliam
250,Groundhog Day,1993,PG,Comedy,Harold Ramis,70.91,Bill Murray, Andie MacDowell, Chris Elliott, Stephen Tobolowsky
