Movie Rank,Movie Name,Year Released,Gross Aount(Millions),Rating from Top 250,
154,Spirited Away,2001,10.06,31,
155,On the Waterfront,1954,9.6,185,
156,Mr. Smith Goes to Washington,1939,9.6,198,
157,Singin' in the Rain,1952,8.82,83,
158,Chinatown,1974,8.49,157,
159,Witness for the Prosecution,1957,8.18,64,
160,City of God,2002,7.56,24,
161,A Separation,2011,7.1,113,
162,Incendies,2010,6.86,107,
163,American History X,1998,6.72,38,
164,3 Idiots,2009,6.53,84,
165,The Secret in Their Eyes,2009,6.39,165,
166,A Clockwork Orange,1971,6.21,104,
167,"The Good, the Bad and the Ugly",1966,6.1,10,
168,Before Sunset,2004,5.82,222,
169,Double Indemnity,1944,5.72,103,
170,Before Sunrise,1995,5.54,181,
171,Downfall,2004,5.51,124,
172,The Kid,1921,5.45,128,
173,The Gold Rush,1925,5.45,178,
174,Amores Perros,2000,5.38,237,
175,Once Upon a Time in America,1984,5.32,81,
176,Once Upon a Time in the West,1968,5.32,48,
177,Your Name.,2016,5.02,82,
178,The Treasure of the Sierra Madre,1948,5.01,147,
179,Howl's Moving Castle,2004,4.71,164,
180,12 Angry Men,1957,4.36,5,
181,Rebecca,1940,4.36,240,
182,It Happened One Night,1934,4.36,244,
183,Ran,1985,4.14,135,
184,"Lock, Stock and Two Smoking Barrels",1998,3.9,162,
185,Requiem for a Dream,2000,3.64,85,
186,Vertigo,1958,3.2,101,
187,Wild Tales,2014,3.11,197,
188,Reservoir Dogs,1992,2.83,93,
189,Princess Mononoke,1997,2.38,79,
190,The Wizard of Oz,1939,2.08,223,
191,The Handmaiden,2016,2.01,239,
192,Capernaum,2018,1.66,88,
193,Citizen Kane,1941,1.59,96,
194,Metropolis,1927,1.24,114,
195,Monty Python and the Holy Grail,1975,1.23,148,
196,Like Stars on Earth,2007,1.22,121,
197,My Neighbor Totoro,1988,1.11,174,
198,The General,1926,1.03,187,
199,Casablanca,1942,1.02,43,
200,Sherlock Jr.,1924,0.98,196,
201,Children of Heaven,1997,0.93,176,
202,Oldboy,2003,0.71,71,
203,The Hunt,2012,0.69,94,
204,Pather Panchali,1955,0.54,235,
205,The Third Man,1949,0.45,193,
206,Bicycle Thieves,1948,0.33,120,
207,La haine,1995,0.31,229,
208,The Great Dictator,1940,0.29,62,
209,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,0.28,68,
210,Seven Samurai,1954,0.27,21,
211,Modern Times,1936,0.16,47,
212,Rashomon,1950,0.1,152,
213,The Battle of Algiers,1966,0.06,234,
214,Ikiru,1952,0.06,98,
215,The Grapes of Wrath,1940,0.06,233,
216,M,1931,0.03,97,
217,The Passion of Joan of Arc,1928,0.02,211,
218,City Lights,1931,0.02,52,
219,Memories of Murder,2003,0.01,195,
220,Dial M for Murder,1954,0.01,161,
221,All About Eve,1950,0.01,131,
222,Guardians of the Galaxy Vol. 3,2023,NULL,141,
223,John Wick: Chapter 4,2023,NULL,201,
224,The Father,2020,NULL,130,
225,Come and See,1985,NULL,92,
226,Hamilton,2020,NULL,109,
227,To Kill a Mockingbird,1962,NULL,111,
228,Grave of the Fireflies,1988,NULL,44,
229,Barry Lyndon,1975,NULL,189,
230,It's a Wonderful Life,1946,NULL,20,
231,Hachi: A Dog's Tale,2009,NULL,232,
232,Sunset Blvd.,1950,NULL,59,
233,Network,1976,NULL,221,
234,The Elephant Man,1980,NULL,156,
235,Jai Bhim,2021,NULL,236,
236,Paths of Glory,1957,NULL,60,
237,Persona,1966,NULL,245,
238,Harakiri,1962,NULL,45,
239,The Seventh Seal,1957,NULL,205,
240,Judgment at Nuremberg,1961,NULL,134,
241,Klaus,2019,NULL,179,
242,Tokyo Story,1953,NULL,209,
243,Mary and Max,2009,NULL,200,
244,Yojimbo,1961,NULL,146,
245,The 400 Blows,1959,NULL,243,
246,High and Low,1963,NULL,86,
247,Wild Strawberries,1957,NULL,188,
248,To Be or Not to Be,1942,NULL,230,
249,The Wages of Fear,1953,NULL,194,
250,My Father and My Son,2005,NULL,238,
